DATE/TIME,CODE,SPACE,FLOOR,EVENT
1/9/2023 9:47:52 AM,SI30ZC02ASF/DC03 ,027007030,SF/DC03 TP1,Occupied
1/9/2023 9:47:50 PM,SI05ZC02ASF/DC03 ,027007005,SF/DC03 TP1,Vacant
1/9/2023 9:47:33 PM,SI05ZC02ASF/DC03 ,027007005,SF/DC03 TP1,Occupied
1/9/2023 9:47:31 AM,SI41ZC02ASF/DC03 ,027007041,SF/DC03 TP1,Occupied
1/9/2023 9:47:14 PM,SI69ZC01BSF/DC03 ,027008069,SF/DC03 TP1,Vacant
1/9/2023 9:47:06 AM,SI68ZC01BSF/DC03 ,027008068,SF/DC03 TP1,Occupied
1/9/2023 9:47:02 PM,SI69ZC01BSF/DC03 ,027008069,SF/DC03 TP1,Occupied
1/9/2023 9:46:48 AM,SI10ZC02ASF/DC03 ,027007010,SF/DC03 TP1,Occupied
1/9/2023 9:46:48 AM,SI59ZC02ASF/DC03 ,027007059,SF/DC03 TP1,Occupied
1/9/2023 9:46:45 AM,SI48ZC01ASF/DC03 ,027006048,SF/DC03 TP1,Occupied
1/9/2023 9:46:16 AM,SI71ZC01BSF/DC03 ,027008071,SF/DC03 TP1,Occupied
1/9/2023 9:45:59 AM,SI42ZC02ASF/DC03 ,027007042,SF/DC03 TP1,Occupied
1/9/2023 9:45:34 AM,SI69ZC01BSF/DC03 ,027008069,SF/DC03 TP1,Occupied
1/9/2023 9:45:34 AM,SI59ZC01BSF/DC03 ,027008059,SF/DC03 TP1,Occupied
1/9/2023 9:45:27 AM,SI11ZC02ASF/DC03 ,027007011,SF/DC03 TP1,Occupied
1/9/2023 9:45:25 AM,SI69ZC01BSF/DC03 ,027008069,SF/DC03 TP1,Vacant
1/9/2023 9:45:23 AM,SI57ZC01BSF/DC03 ,027008057,SF/DC03 TP1,Occupied
1/9/2023 9:45:13 AM,SI69ZC01BSF/DC03 ,027008069,SF/DC03 TP1,Occupied
1/9/2023 9:44:20 AM,SI62ZC02ASF/DC03 ,027007062,SF/DC03 TP1,Occupied
1/9/2023 9:44:14 AM,SI62ZC02ASF/DC03 ,027007062,SF/DC03 TP1,Vacant
1/9/2023 9:44:09 AM,SI62ZC02ASF/DC03 ,027007062,SF/DC03 TP1,Occupied
1/9/2023 9:43:25 PM,SI44ZC02BSF/DC03 ,027009044,SF/DC03 TP1,Vacant
1/9/2023 9:43:15 PM,SI44ZC02BSF/DC03 ,027009044,SF/DC03 TP1,Occupied
1/9/2023 9:43:13 AM,SI72ZC01BSF/DC03 ,027008072,SF/DC03 TP1,Occupied
1/9/2023 9:43:00 AM,SI43ZC02ASF/DC03 ,027007043,SF/DC03 TP1,Occupied
1/9/2023 9:42:54 AM,SI43ZC02ASF/DC03 ,027007043,SF/DC03 TP1,Vacant
1/9/2023 9:42:47 AM,SI43ZC02ASF/DC03 ,027007043,SF/DC03 TP1,Occupied
1/9/2023 9:42:47 AM,SI58ZC02ASF/DC03 ,027007058,SF/DC03 TP1,Occupied
1/9/2023 9:42:46 PM,SI53ZC02BSF/DC03 ,027009053,SF/DC03 TP1,Vacant
1/9/2023 9:42:46 AM,SI51ZC01ASF/DC03 ,027006051,SF/DC03 TP1,Occupied
1/9/2023 9:42:39 PM,SI53ZC02BSF/DC03 ,027009053,SF/DC03 TP1,Occupied
1/9/2023 9:41:22 AM,SI63ZC02ASF/DC03 ,027007063,SF/DC03 TP1,Occupied
1/9/2023 9:40:48 AM,SI52ZC02BSF/DC03 ,027009052,SF/DC03 TP1,Occupied
1/9/2023 9:40:37 AM,SI55ZC02BSF/DC03 ,027009055,SF/DC03 TP1,Occupied
1/9/2023 9:40:00 AM,SI70ZC01BSF/DC03 ,027008070,SF/DC03 TP1,Occupied
1/9/2023 9:39:52 AM,SI49ZC01ASF/DC03 ,027006049,SF/DC03 TP1,Occupied
1/9/2023 9:39:33 AM,SI49ZC01ASF/DC03 ,027006049,SF/DC03 TP1,Vacant
1/9/2023 9:38:46 AM,SI09ZC02ASF/DC03 ,027007009,SF/DC03 TP1,Occupied
1/9/2023 9:38:44 AM,SI49ZC01ASF/DC03 ,027006049,SF/DC03 TP1,Occupied
1/9/2023 9:38:20 AM,SI72ZC01BSF/DC03 ,027008072,SF/DC03 TP1,Vacant
1/9/2023 9:38:17 AM,SI12ZC02ASF/DC03 ,027007012,SF/DC03 TP1,Occupied
1/9/2023 9:38:07 AM,SI72ZC01BSF/DC03 ,027008072,SF/DC03 TP1,Occupied
1/9/2023 9:38:05 AM,SI73ZC01BSF/DC03 ,027008073,SF/DC03 TP1,Occupied
1/9/2023 9:38:04 PM,SI19ZC02BSF/DC03 ,027009019,SF/DC03 TP1,Vacant
1/9/2023 9:38:03 AM,SI54ZC02BSF/DC03 ,027009054,SF/DC03 TP1,Occupied
1/9/2023 9:37:54 PM,SI19ZC02BSF/DC03 ,027009019,SF/DC03 TP1,Occupied
1/9/2023 9:37:53 AM,SI61ZC01BSF/DC03 ,027008061,SF/DC03 TP1,Occupied
1/9/2023 9:37:48 AM,SI38ZC02BSF/DC03 ,027009038,SF/DC03 TP1,Occupied
1/9/2023 9:37:32 PM,SI26ZC01ASF/DC03 ,027006026,SF/DC03 TP1,Vacant
1/9/2023 9:37:22 PM,SI26ZC01ASF/DC03 ,027006026,SF/DC03 TP1,Occupied
1/9/2023 9:36:33 AM,SI58ZC01BSF/DC03 ,027008058,SF/DC03 TP1,Occupied
1/9/2023 9:36:30 AM,SI18ZC02ASF/DC03 ,027007018,SF/DC03 TP1,Occupied
1/9/2023 9:36:24 AM,SI47ZC01ASF/DC03 ,027006047,SF/DC03 TP1,Occupied
1/9/2023 9:36:09 AM,SI56ZC02BSF/DC03 ,027009056,SF/DC03 TP1,Occupied
1/9/2023 9:36:09 AM,SI57ZC02ASF/DC03 ,027007057,SF/DC03 TP1,Occupied
1/9/2023 9:36:07 AM,SI50ZC01ASF/DC03 ,027006050,SF/DC03 TP1,Occupied
1/9/2023 9:35:43 AM,SI17ZC02ASF/DC03 ,027007017,SF/DC03 TP1,Occupied
1/9/2023 9:35:15 AM,SI56ZC01BSF/DC03 ,027008056,SF/DC03 TP1,Occupied
1/9/2023 9:35:02 AM,SI57ZC02BSF/DC03 ,027009057,SF/DC03 TP1,Occupied
1/9/2023 9:34:52 AM,SI33ZC01BSF/DC03 ,027008033,SF/DC03 TP1,Occupied
1/9/2023 9:34:47 AM,SI46ZC01ASF/DC03 ,027006046,SF/DC03 TP1,Occupied
1/9/2023 9:34:44 AM,SI56ZC02ASF/DC03 ,027007056,SF/DC03 TP1,Occupied
1/9/2023 9:34:44 AM,SI13ZC02ASF/DC03 ,027007013,SF/DC03 TP1,Occupied
1/9/2023 9:34:43 AM,SI52ZC01ASF/DC03 ,027006052,SF/DC03 TP1,Occupied
1/9/2023 9:34:31 AM,SI51ZC02BSF/DC03 ,027009051,SF/DC03 TP1,Vacant
1/9/2023 9:34:22 AM,SI29ZC02BSF/DC03 ,027009029,SF/DC03 TP1,Occupied
1/9/2023 9:34:22 AM,SI51ZC02BSF/DC03 ,027009051,SF/DC03 TP1,Occupied
1/9/2023 9:33:53 AM,SI54ZC01ASF/DC03 ,027006054,SF/DC03 TP1,Occupied
1/9/2023 9:33:49 AM,SI34ZC01BSF/DC03 ,027008034,SF/DC03 TP1,Occupied
1/9/2023 9:33:17 AM,SI44ZC02ASF/DC03 ,027007044,SF/DC03 TP1,Occupied
1/9/2023 9:33:14 AM,SI14ZC02ASF/DC03 ,027007014,SF/DC03 TP1,Occupied
1/9/2023 9:33:07 AM,SI60ZC01BSF/DC03 ,027008060,SF/DC03 TP1,Occupied
1/9/2023 9:33:01 AM,SI60ZC01BSF/DC03 ,027008060,SF/DC03 TP1,Vacant
1/9/2023 9:33:01 AM,SI74ZC01BSF/DC03 ,027008074,SF/DC03 TP1,Occupied
1/9/2023 9:32:58 AM,SI62ZC02BSF/DC03 ,027009062,SF/DC03 TP1,Occupied
